才: 青二[才]
苔: 青海[苔]
循: 悪[循]環
環: 悪循[環]
亜: [亜]細[亜]
阿: [阿]修羅
療: 荒[療]治
蟻: [蟻]地獄
暗: [暗]黒街
息: 安[息]日
委: [委]員会
固: 意[固]地
失: 遺[失]物
慰: [慰]謝料
謝: 慰[謝]料
衣: [衣]食住
韋: [韋]駄天
段: 一[段]落
岩: 一枚[岩]
散: 一目[散]
昨: 一[昨]日
週: 一[週]間
般: 一[般]的
匹: 一[匹]狼
狼: 一匹[狼]
井: [井]戸水
邦: 異[邦]人
欲: 意[欲]的
違: [違]和感
飲: [飲]食店
鉢: 植木[鉢]
薄: [薄]化粧
嘘: [嘘]八百
慶: 内弁[慶]
母: 乳[母]車
映: [映]画館
永: [永]久歯
寿: 恵比[寿]
縁: [縁]起物
延: [延]長戦
隔: 横[隔]膜
膜: 横隔[膜]
袈: 大[袈]裟
裟: 大袈[裟]
把: 大雑[把]
掃: 大[掃]除
除: 大掃[除]
晦: 大[晦]日
臆: [臆]病風
宮: 竜[宮]城
痴: 味音[痴]
濯: 洗[濯]機
鹿: 親馬[鹿]
皆: [皆]勤賞
勤: 皆[勤]賞
賞: 皆勤[賞]
厳: 戒[厳]令
令: 戒厳[令]
札: 改[札]口
賊: 海[賊]版
拓: 開[拓]者
訂: 改[訂]版
瓶: 火炎[瓶]
砂: 角[砂]糖
核: [核]実験
塾: 学習[塾]
確: [確]信犯
服: 学生[服]
鶏: 風見[鶏]
灰: 火山[灰]
川: 河[川]敷
舎: 片田[舎]
価: [価]値観
伎: 歌舞[伎]
婚: 結[婚]式
謡: 歌[謡]曲
髪: 間一[髪]
寄: [寄]生虫
閑: [閑]古鳥
宅: 住[宅]街
乾: [乾]電池
池: 乾電[池]
堪: [堪]忍袋
娘: 看板[娘]
慣: [慣]用句
歓: [歓]楽街
歳: [歳]時記
憶: 記[憶]力
幾: [幾]何学
何: 幾[何]学
銃: 機関[銃]
騎: [騎]士道
技: [技]術者
犠: [犠]牲者
牲: 犠[牲]者
跡: 奇[跡]的
季: [季]節感
偽: [偽]善者
善: 偽[善]者
几: [几]帳面
帳: 几[帳]面
喫: [喫]茶店
啄: [啄]木鳥
爆: 起[爆]剤
揮: [揮]発油
基: [基]本的
探: 逆[探]知
輸: 逆[輸]入
九: [九]官鳥
斜: 急[斜]面
鋒: 急先[鋒]
及: [及]第点
凶: [凶]悪犯
益: 共[益]費
境: [境]界線
強: [強]行軍
