形容詞	5.18% ; jukugo47
一人前	5.17% ; jukugo52
韋駄天	5.17% ; jukugo49
裁判所	5.17% ; jukugo46
一張羅	5.17% ; jukugo61
一過性	5.16% ; jukugo58
一文字	5.16% ; jukugo55
一人称	5.16% ; jukugo51
一輪車	5.14% ; jukugo56
一段落	5.14% ; jukugo50
居丈高	5.14% ; jukugo48
一等地	5.14% ; jukugo66
異分子	5.13% ; jukugo70
意地悪	5.13% ; jukugo45
一方的	5.13% ; jukugo65
一家言	5.12% ; jukugo57
居場所	5.12% ; jukugo69
一目散	5.12% ; jukugo54
薄化粧	5.12% ; jukugo82
遺伝子	5.12% ; jukugo67
一週間	5.12% ; jukugo60
一枚岩	5.12% ; jukugo53
井戸水	5.12% ; jukugo68
衣食住	5.11% ; jukugo44
異邦人	5.11% ; jukugo71
一匹狼	5.11% ; jukugo64
囲炉裏	5.11% ; jukugo76
一般的	5.11% ; jukugo63
一直線	5.10% ; jukugo62
意欲的	5.09% ; jukugo73
一昨日	5.09% ; jukugo59
嘘八百	5.09% ; jukugo83
医薬品	5.09% ; jukugo72
積極的	5.09% ; jukugo78
違和感	5.08% ; jukugo77
遺失物	5.08% ; jukugo42
有頂天	5.07% ; jukugo87
飲食店	5.07% ; jukugo80
消極的	5.07% ; jukugo79
栄養素	5.07% ; jukugo96
腕時計	5.06% ; jukugo88
居留守	5.06% ; jukugo75
遺留品	5.06% ; jukugo74
植木鉢	5.05% ; jukugo81
永久歯	5.05% ; jukugo95
慰謝料	5.04% ; jukugo43
内弟子	5.04% ; jukugo84
運動会	5.04% ; jukugo93
映画館	5.04% ; jukugo94
内弁慶	5.04% ; jukugo85
宇宙人	5.04% ; jukugo86
腕相撲	5.04% ; jukugo89
運転手	5.03% ; jukugo92
熱帯魚	5.03% ; jukugo101
異次元	5.03% ; jukugo41
深海魚	5.03% ; jukugo100
乳母車	5.03% ; jukugo90
恵比寿	5.03% ; jukugo99
正直者	5.03% ; jukugo91
遠心力	5.01% ; jukugo107
遠距離	5.01% ; jukugo102
絵葉書	5.01% ; jukugo98
延長戦	5.01% ; jukugo108
円周率	5.00% ; jukugo105
応接室	5.00% ; jukugo113
演出家	4.99% ; jukugo106
遠近法	4.99% ; jukugo104
絵空事	4.99% ; jukugo97
居酒屋	4.98% ; jukugo40
大事件	4.98% ; jukugo39
大道具	4.98% ; jukugo120
大広間	4.97% ; jukugo121
縁起物	4.97% ; jukugo103
往生際	4.97% ; jukugo112
大一番	4.97% ; jukugo114
大袈裟	4.96% ; jukugo115
円舞曲	4.96% ; jukugo110
横隔膜	4.96% ; jukugo111
大雑把	4.96% ; jukugo117
臆病風	4.96% ; jukugo123
皆勤賞	4.96% ; jukugo137
大相撲	4.95% ; jukugo118
大御所	4.95% ; jukugo116
炎天下	4.95% ; jukugo109
親不孝	4.95% ; jukugo129
親孝行	4.95% ; jukugo128
味音痴	4.95% ; jukugo130
落武者	4.95% ; jukugo124
大掃除	4.94% ; jukugo119
御手洗	4.93% ; jukugo125
大晦日	4.93% ; jukugo122
病原菌	4.93% ; jukugo37
観覧車	4.93% ; jukugo134
扇風機	4.93% ; jukugo132
外交官	4.92% ; jukugo139
開拓者	4.92% ; jukugo147
海産物	4.92% ; jukugo142
記念日	4.91% ; jukugo136
竜宮城	4.91% ; jukugo126
意固地	4.90% ; jukugo38
