合気道	3.87% ; jukugo0
愛好家	3.90% ; jukugo1
合言葉	3.92% ; jukugo2
愛読書	3.95% ; jukugo3
青海原	3.98% ; jukugo4
青写真	4.01% ; jukugo5
青大将	4.04% ; jukugo6
青二才	4.07% ; jukugo7
青海苔	4.09% ; jukugo8
秋田犬	4.12% ; jukugo9
悪影響	4.15% ; jukugo10
悪趣味	4.18% ; jukugo11
悪循環	4.21% ; jukugo12
朝一番	4.24% ; jukugo13
明後日	4.27% ; jukugo14
朝寝坊	4.30% ; jukugo15
紫陽花	4.33% ; jukugo16
亜細亜	4.36% ; jukugo17
阿修羅	4.38% ; jukugo18
値千金	4.41% ; jukugo19
大使館	4.44% ; jukugo20
圧倒的	4.47% ; jukugo21
後始末	4.50% ; jukugo22
原子力	4.52% ; jukugo23
兄弟分	4.55% ; jukugo24
甘納豆	4.58% ; jukugo25
天邪鬼	4.60% ; jukugo26
雨模様	4.64% ; jukugo27
荒療治	4.67% ; jukugo28
蟻地獄	4.69% ; jukugo29
暗黒街	4.72% ; jukugo30
安息日	4.75% ; jukugo31
安楽死	4.78% ; jukugo32
委員会	4.81% ; jukugo33
人格者	4.83% ; jukugo34
意気地	4.86% ; jukugo35
異教徒	4.88% ; jukugo36
病原菌	4.92% ; jukugo37
意固地	4.94% ; jukugo38
大事件	4.97% ; jukugo39
居酒屋	5.00% ; jukugo40
異次元	5.03% ; jukugo41
遺失物	5.06% ; jukugo42
慰謝料	5.09% ; jukugo43
衣食住	5.11% ; jukugo44
意地悪	5.14% ; jukugo45
裁判所	5.17% ; jukugo46
形容詞	5.16% ; jukugo47
居丈高	5.16% ; jukugo48
韋駄天	5.16% ; jukugo49
一段落	5.15% ; jukugo50
一人称	5.15% ; jukugo51
一人前	5.15% ; jukugo52
一枚岩	5.15% ; jukugo53
一目散	5.14% ; jukugo54
一文字	5.14% ; jukugo55
一輪車	5.14% ; jukugo56
一家言	5.14% ; jukugo57
一過性	5.13% ; jukugo58
一昨日	5.13% ; jukugo59
一週間	5.13% ; jukugo60
一張羅	5.12% ; jukugo61
一直線	5.11% ; jukugo62
一般的	5.11% ; jukugo63
一匹狼	5.11% ; jukugo64
一方的	5.11% ; jukugo65
一等地	5.10% ; jukugo66
遺伝子	5.10% ; jukugo67
井戸水	5.10% ; jukugo68
居場所	5.09% ; jukugo69
異分子	5.09% ; jukugo70
異邦人	5.09% ; jukugo71
医薬品	5.09% ; jukugo72
意欲的	5.08% ; jukugo73
遺留品	5.08% ; jukugo74
居留守	5.08% ; jukugo75
囲炉裏	5.08% ; jukugo76
違和感	5.07% ; jukugo77
積極的	5.07% ; jukugo78
消極的	5.07% ; jukugo79
飲食店	5.07% ; jukugo80
植木鉢	5.06% ; jukugo81
薄化粧	5.06% ; jukugo82
嘘八百	5.06% ; jukugo83
内弟子	5.05% ; jukugo84
内弁慶	5.05% ; jukugo85
宇宙人	5.05% ; jukugo86
有頂天	5.04% ; jukugo87
腕時計	5.04% ; jukugo88
腕相撲	5.03% ; jukugo89
乳母車	5.03% ; jukugo90
正直者	5.03% ; jukugo91
運転手	5.03% ; jukugo92
運動会	5.03% ; jukugo93
映画館	5.02% ; jukugo94
永久歯	5.01% ; jukugo95
栄養素	5.02% ; jukugo96
絵空事	5.01% ; jukugo97
絵葉書	5.01% ; jukugo98
恵比寿	5.00% ; jukugo99
深海魚	5.00% ; jukugo100
熱帯魚	5.00% ; jukugo101
遠距離	5.00% ; jukugo102
縁起物	5.00% ; jukugo103
遠近法	4.99% ; jukugo104
円周率	4.99% ; jukugo105
演出家	4.98% ; jukugo106
遠心力	4.98% ; jukugo107
延長戦	4.98% ; jukugo108
炎天下	4.98% ; jukugo109
円舞曲	4.98% ; jukugo110
横隔膜	4.97% ; jukugo111
往生際	4.97% ; jukugo112
応接室	4.97% ; jukugo113
大一番	4.96% ; jukugo114
大袈裟	4.96% ; jukugo115
大御所	4.96% ; jukugo116
大雑把	4.95% ; jukugo117
大相撲	4.95% ; jukugo118
大掃除	4.95% ; jukugo119
大道具	4.94% ; jukugo120
大広間	4.94% ; jukugo121
大晦日	4.94% ; jukugo122
臆病風	4.93% ; jukugo123
落武者	4.93% ; jukugo124
御手洗	4.93% ; jukugo125
竜宮城	4.92% ; jukugo126
十八番	4.92% ; jukugo127
親孝行	4.92% ; jukugo128
親不孝	4.92% ; jukugo129
味音痴	4.92% ; jukugo130
温度計	4.91% ; jukugo131
扇風機	4.91% ; jukugo132
洗濯機	4.90% ; jukugo133
