* 三字熟語Flash 使用漢字別一覧

三字熟語Flash(http://www.gamedesign.jp/flash/sanjuku/sanjuku.html)
全1190語。使用漢字1106字。

----

才: 青二才
苔: 青海苔
循: 悪循環
環: 悪循環
亜: 亜細亜
阿: 阿修羅
療: 荒療治
蟻: 蟻地獄
暗: 暗黒街
息: 安息日
委: 委員会
固: 意固地
失: 遺失物
慰: 慰謝料
謝: 慰謝料
衣: 衣食住
韋: 韋駄天
段: 一段落
岩: 一枚岩
散: 一目散
昨: 一昨日
週: 一週間
般: 一般的
匹: 一匹狼
狼: 一匹狼
井: 井戸水
邦: 異邦人
欲: 意欲的
違: 違和感
飲: 飲食店
鉢: 植木鉢
薄: 薄化粧
嘘: 嘘八百
慶: 内弁慶
母: 乳母車
映: 映画館
永: 永久歯
寿: 恵比寿
縁: 縁起物
延: 延長戦
隔: 横隔膜
膜: 横隔膜
袈: 大袈裟
裟: 大袈裟
把: 大雑把
掃: 大掃除
除: 大掃除
晦: 大晦日
臆: 臆病風
宮: 竜宮城
痴: 味音痴
濯: 洗濯機
鹿: 親馬鹿
皆: 皆勤賞
勤: 皆勤賞
賞: 皆勤賞
厳: 戒厳令
令: 戒厳令
札: 改札口
賊: 海賊版
拓: 開拓者
訂: 改訂版
瓶: 火炎瓶
砂: 角砂糖
核: 核実験
塾: 学習塾
確: 確信犯
服: 学生服
鶏: 風見鶏
灰: 火山灰
川: 河川敷
舎: 片田舎
価: 価値観
伎: 歌舞伎
婚: 結婚式
謡: 歌謡曲
髪: 間一髪
寄: 寄生虫
閑: 閑古鳥
宅: 住宅街
乾: 乾電池
池: 乾電池
堪: 堪忍袋
娘: 看板娘
慣: 慣用句
歓: 歓楽街
歳: 歳時記
憶: 記憶力
幾: 幾何学
何: 幾何学
銃: 機関銃
騎: 騎士道
技: 技術者
犠: 犠牲者
牲: 犠牲者
跡: 奇跡的
季: 季節感
偽: 偽善者
善: 偽善者
几: 几帳面
帳: 几帳面
喫: 喫茶店
啄: 啄木鳥
爆: 起爆剤
揮: 揮発油
基: 基本的
探: 逆探知
輸: 逆輸入
九: 九官鳥
斜: 急斜面
鋒: 急先鋒
及: 及第点
凶: 凶悪犯
益: 共益費
境: 境界線
強: 強行軍
庭: 家庭科
職: 教職員
奏: 協奏曲
競: 徒競走
怖: 恐怖症
虚: 虚栄心
介: 魚介類
封: 金一封
禁: 禁煙席
煙: 禁煙席
塔: 金字塔
迫: 緊迫感
草: 草野球
