青: [青]息吐息
吐: 青息[吐]息
徳: 悪[徳]商人
散: 悪霊退[散]
阿: [阿]鼻叫喚
鼻: 阿[鼻]叫喚
叫: 阿鼻[叫]喚
喚: 阿鼻叫[喚]
模: 暗中[模]索
索: 暗中模[索]
揚: 意気[揚]々
消: 意気[消]沈
沈: 意気消[沈]
投: 意気[投]合
合: 意気投[合]
緒: 異国情[緒]
以: [以]心伝心
会: 一期一[会]
秋: 一日千[秋]
戒: 一罰百[戒]
部: 一[部]始終
始: 一部[始]終
終: 一部始[終]
網: 一[網]打尽
打: 一網[打]尽
瞭: 一目[瞭]然
蓮: 一[蓮]托生
托: 一蓮[托]生
攫: 一[攫]千金
団: 一家[団]欒
欒: 一家団[欒]
球: 一[球]入魂
魂: 一球入[魂]
騎: 一[騎]当千
触: 一[触]即発
懸: 一所[懸]命
靡: 一世風[靡]
夕: 一朝一[夕]
短: 一長一[短]
筆: 一[筆]啓上
啓: 一筆[啓]上
威: [威]風堂々
深: 意味[深]長
因: [因]果応報
報: 因果応[報]
慇: [慇]懃無礼
懃: 慇[懃]無礼
礼: 慇懃無[礼]
運: 飲酒[運]転
往: 右[往]左[往]
雨: [雨]天決行
決: 雨天[決]行
紆: [紆]余曲折
余: 紆[余]曲折
曲: 紆余[曲]折
枯: 栄[枯]盛衰
英: [英]才教育
育: 英才教[育]
養: 栄[養]補給
補: 栄養[補]給
汚: [汚]名返上
返: 汚名[返]上
温: [温]故知新
故: 温[故]知新
番: 開口一[番]
麻: 快刀乱[麻]
厳: 火気[厳]禁
各: [各]個撃破
個: 各[個]撃破
破: 各個撃[破]
臥: [臥]薪嘗胆
薪: 臥[薪]嘗胆
嘗: 臥薪[嘗]胆
点: 画竜[点]睛
睛: 画竜点[睛]
慨: 感[慨]無量
頑: [頑]固一徹
勧: [勧]善懲悪
善: 勧[善]懲悪
懲: 勧善[懲]悪
完: [完]全無欠
欠: 完全無[欠]
閑: [閑]話休題
話: 閑[話]休題
髪: 危機一[髪]
母: 鬼子[母]神
承: 起[承]転結
結: 起承転[結]
哀: 喜怒[哀]楽
旧: [旧]態依然
依: 旧態[依]然
狂: [狂]喜乱舞
舞: 狂喜乱[舞]
共: [共]存[共]栄
迫: 強[迫]観念
貧: 器用[貧]乏
乏: 器用貧[乏]
興: [興]味津々
審: 挙動不[審]
御: 切捨[御]免
科: 金[科]玉条
玉: 金科[玉]条
条: 金科玉[条]
症: 禁断[症]状
後: 空前絶[後]
楼: 空中[楼]閣
閣: 空中楼[閣]
群: [群]雄割拠
雄: 群[雄]割拠
割: 群雄[割]拠
拠: 群雄割[拠]
軽: [軽]挙妄動
益: 経常利[益]
済: 経世[済]民
維: 現状[維]持
持: 現状維[持]
捲: [捲]土重来
重: 捲土[重]来
謀: 権[謀]術数
数: 権謀術[数]
豪: [豪]華絢爛
絢: 豪華[絢]爛
厚: [厚]顔無恥
顔: 厚[顔]無恥
恥: 厚顔無[恥]
綱: [綱]紀粛正
紀: 綱[紀]粛正
粛: 綱紀[粛]正
巧: [巧]言令色
荒: [荒]唐無稽
唐: 荒[唐]無稽
稽: 荒唐無[稽]
呉: [呉]越同舟
越: 呉[越]同舟
舟: 呉越同[舟]
双: 国士無[双]
浄: 極楽[浄]土
非: 極悪[非]道
軍: 孤[軍]奮闘
古: [古]今東西
今: 古[今]東西
字: 誤[字]脱[字]
脱: 誤字[脱]字
虎: [虎]視眈々
視: 虎[視]眈々
眈: 虎視[眈]々
臓: 五[臓]六腑
腑: 五臓六[腑]
誇: [誇]大妄想
木: [木]端微塵
微: 木端[微]塵
塵: 木端微[塵]
春: 小[春]日和
援: 孤立無[援]
里: 五[里]霧中
霧: 五里[霧]中
懇: [懇]切丁寧
丁: 懇切[丁]寧
寧: 懇切丁[寧]
渾: [渾]然一体
煥: 才気[煥]発
兼: 才色[兼]備
備: 才色兼[備]
称: 左右対[称]
珍: 山海[珍]味
否: 賛[否]両論
論: 賛否両[論]
残: [残]念無念
位: 三[位]一体
尚: 時期[尚]早
早: 時期尚[早]
是: 色即[是]空
足: 自給自[足]
試: [試]行錯誤
業: 自[業]自得
己: 自[己]矛盾
矛: 自己[矛]盾
盾: 自己矛[盾]
演: 自作自[演]
孫: 子々[孫]々
獅: [獅]子奮迅
迅: 獅子奮[迅]
縄: 自[縄]自縛
縛: 自縄自[縛]
屍: 死[屍]累々
累: 死屍[累]々
舌: [舌]先三寸
寸: 舌先三[寸]
質: [質]実剛健
剛: 質実[剛]健
健: 質実剛[健]
叱: [叱]咤激励
咤: 叱[咤]激励
励: 叱咤激[励]
復: 失地回[復]
使: 実力行[使]
札: 自動改[札]
九: 十中八[九]
疾: [疾]風怒濤
濤: 疾風怒[濤]
農: 士[農]工商
棄: 自暴自[棄]
楚: 四面[楚]歌
歌: 四面楚[歌]
問: 自[問]自答
答: 自問自[答]
社: [社]交辞令
縦: [縦]横無尽
取: [取]捨選択
選: 取捨[選]択
池: 酒[池]肉林
首: [首]尾一貫
憐: 純情可[憐]
順: [順]風満帆
帆: 順風満[帆]
笑: [笑]止千万
止: 笑[止]千万
酌: 情状[酌]量
銘: 正真正[銘]
套: 常[套]手段
段: 常套手[段]
繁: 商売[繁]盛
限: 賞味期[限]
諸: [諸]行無常
初: [初]志貫徹
志: 初[志]貫徹
職: [職]権濫用
支: [支]離滅裂
離: 支[離]滅裂
裂: 支離滅[裂]
慮: 思[慮]分別
剣: 真[剣]勝負
負: 真剣勝[負]
紳: [紳]士協定
省: 人事不[省]
没: 神出鬼[没]
鋭: 新進気[鋭]
験: 人体実[験]
陳: 新[陳]代謝
畜: 人[畜]無害
害: 人畜無[害]
森: [森]羅万象
羅: 森[羅]万象
確: 正[確]無比
比: 正確無[比]
与: 生殺[与]奪
奪: 生殺与[奪]
聖: [聖]人君子
君: 聖人[君]子
統: 精神[統]一
流: 生々[流]転
贅: [贅]沢三昧
沢: 贅[沢]三昧
昧: 贅沢三[昧]
防: 正当[防]衛
衛: 正当防[衛]
頓: 整理整[頓]
倫: 精力絶[倫]
清: [清]廉潔白
廉: 清[廉]潔白
潔: 清廉[潔]白
白: 清廉潔[白]
界: 世[界]征服
征: 世界[征]服
服: 世界征[服]
磋: 切[磋]琢磨
琢: 切磋[琢]磨
載: 千[載]一遇
遇: 千載一[遇]
差: 千[差]万別
踏: 前人未[踏]
恐: 戦々[恐]々
祖: 先[祖]代々
聞: 前代未[聞]
潜: [潜]在能力
夫: 創意工[夫]
粗: [粗]製濫造
製: 粗[製]濫造
造: 粗製濫[造]
吉: 大安[吉]日
晩: 大器[晩]成
成: 大器晩[成]
壮: 大言[壮]語
願: 他力本[願]
魑: [魑]魅魍魎
魅: 魑[魅]魍魎
魍: 魑魅[魍]魎
魎: 魑魅魍[魎]
暮: 朝令[暮]改
跳: [跳]梁跋扈
梁: 跳[梁]跋扈
跋: 跳梁[跋]扈
扈: 跳梁跋[扈]
猪: [猪]突猛進
浦: 津々[浦]々
材: 適[材]適所
逃: 敵前[逃]亡
噌: 手前味[噌]
管: 手練手[管]
泰: 天下[泰]平
電: [電]光石火
漫: 天真爛[漫]
随: 当代[随]一
走: 東奔西[走]
専: 独断[専]行
内: [内]憂外患
患: 内憂外[患]
攻: 難[攻]不落
落: 難攻不[落]
働: 肉体労[働]
脚: 二人三[脚]
制: 女人禁[制]
律: 二[律]背反
功: 年[功]序列
序: 年功[序]列
野: [野]良仕事
仕: 野良[仕]事
馬: [馬]耳東風
耳: 馬[耳]東風
波: [波]乱万丈
丈: 波乱万[丈]
罵: [罵]詈雑言
詈: 罵[詈]雑言
師: 反面教[師]
句: 美辞麗[句]
眉: [眉]目秀麗
