* Squall
LV	MHP	STR	VIT	MAG	SPR	SPD	LUCK
1	223	1	1	2	1	20	15
2	267	2	2	2	2	20	15
3	311	2	3	3	3	20	15
4	355	3	3	4	3	20	15
5	399	4	4	5	4	21	15
6	442	5	5	5	5	21	15
7	486	6	6	6	5	21	16
8	529	6	6	7	6	21	16
9	572	7	7	8	6	21	16
10	616	8	8	8	7	22	16
11	659	9	8	9	8	22	16
12	702	9	9	10	8	22	16
13	745	10	9	10	9	22	16
14	788	11	10	11	9	22	16
15	831	12	11	12	10	23	16
16	873	12	11	12	10	23	16
17	916	13	12	13	11	23	16
18	959	13	12	14	12	23	16
19	1001	14	13	14	12	23	16
20	1044	15	14	15	13	24	16
21	1086	16	14	16	13	24	17
22	1129	16	15	16	14	24	17
23	1171	17	15	17	14	24	17
24	1213	17	16	18	14	24	17
25	1255	18	17	18	15	25	17
26	1297	19	17	19	16	25	17
27	1339	19	18	19	16	25	17
28	1381	20	18	20	17	25	17
29	1423	20	18	21	17	25	17
30	1464	21	19	21	18	25	17
31	1506	22	20	21	18	25	17
32	1547	22	20	22	18	25	17
33	1589	23	20	23	19	25	17
34	1630	23	21	23	19	25	17
35	1671	24	22	24	20	26	18
36	1713	25	22	24	20	26	18
37	1754	25	23	25	21	26	18
38	1795	26	23	25	21	26	18
39	1836	26	23	26	21	26	18
40	1877	27	24	27	22	27	18
41	1918	27	24	27	22	27	18
42	1958	28	25	27	23	27	18
43	1999	28	25	28	23	27	18
44	2040	29	26	29	23	27	18
45	2080	30	26	29	24	28	18
46	2121	30	27	29	24	28	18
47	2161	30	27	30	25	28	18
48	2201	31	27	30	25	28	18
49	2241	31	28	31	25	28	19
50	2281	32	28	31	26	29	19
51	2321	32	29	31	26	29	19
52	2361	33	29	32	26	29	19
53	2401	33	29	32	27	29	19
54	2441	34	30	33	27	29	19
55	2481	34	30	33	28	30	19
56	2521	35	30	34	28	30	19
57	2560	35	31	34	28	30	19
58	2600	35	31	34	28	30	19
59	2639	36	31	35	28	30	19
60	2678	36	32	35	29	30	19
61	2718	37	32	36	29	30	19
62	2757	37	33	36	29	30	19
63	2796	37	33	36	30	30	20
64	2835	38	33	37	30	30	20
65	2874	38	34	37	30	31	20
66	2913	39	34	37	30	31	20
67	2951	39	34	38	31	31	20
68	2990	39	34	38	31	31	20
69	3029	40	34	38	31	31	20
70	3067	40	35	39	32	32	20
71	3106	40	35	39	32	32	20
72	3144	41	35	39	32	32	20
73	3183	41	36	40	32	32	20
74	3221	41	36	40	32	32	20
75	3259	42	36	40	33	33	20
76	3297	42	36	40	33	33	20
77	3335	42	37	41	33	33	21
78	3373	42	37	41	33	33	21
79	3411	43	37	41	33	33	21
80	3449	43	37	42	33	34	21
81	3486	43	37	42	33	34	21
82	3524	44	38	42	33	34	21
83	3561	44	38	42	34	34	21
84	3599	44	38	43	34	34	21
85	3636	44	38	43	34	35	21
86	3673	45	38	43	34	35	21
87	3711	45	39	43	34	35	21
88	3748	45	39	43	34	35	21
89	3785	45	39	44	34	35	21
90	3822	46	39	44	35	35	21
91	3859	46	39	44	35	35	22
92	3896	46	39	44	35	35	22
93	3932	46	39	44	35	35	22
94	3969	46	40	44	35	35	22
95	4006	47	40	45	35	36	22
96	4042	47	40	45	35	36	22
97	4079	47	40	45	35	36	22
98	4115	47	40	45	35	36	22
99	4151	47	40	45	35	36	22
100	4187	47	41	45	36	37	22
----
* Zell
LV	MHP	STR	VIT	MAG	SPR	SPD	LUCK
1	252	2	1	1	0	20	14
2	294	3	2	2	1	20	14
3	336	3	2	2	1	20	14
4	378	4	3	3	2	20	14
5	420	5	4	4	2	21	14
6	461	6	4	5	3	21	14
7	503	7	5	5	3	21	14
8	544	7	5	6	4	21	15
9	585	8	6	6	4	21	15
10	627	9	7	7	5	22	15
11	668	9	7	8	5	22	15
12	709	10	8	9	6	22	15
13	750	11	8	9	6	22	15
14	791	11	9	10	7	22	15
15	832	12	9	11	7	23	15
16	872	13	10	11	8	23	15
17	913	14	10	12	8	23	15
18	954	14	11	12	9	23	15
19	994	15	11	13	9	23	15
20	1035	16	12	14	9	23	15
21	1075	16	12	14	10	23	15
22	1116	17	13	15	10	23	15
23	1156	17	13	15	11	23	15
24	1196	18	14	16	11	23	16
25	1236	19	14	17	12	24	16
26	1276	19	15	17	12	24	16
27	1316	20	15	17	12	24	16
28	1356	20	16	18	13	24	16
29	1396	21	16	19	13	24	16
30	1435	22	17	19	14	25	16
31	1475	22	17	20	14	25	16
32	1514	23	17	20	14	25	16
33	1554	23	18	21	15	25	16
34	1593	24	18	21	15	25	16
35	1632	25	19	22	15	26	16
36	1672	25	19	22	16	26	16
37	1711	26	20	23	16	26	16
38	1750	26	20	23	16	26	16
39	1789	27	20	24	17	26	16
40	1828	27	21	24	17	26	17
41	1867	28	21	25	17	26	17
42	1905	28	21	25	18	26	17
43	1944	29	22	26	18	26	17
44	1983	29	22	26	18	26	17
45	2021	30	23	27	18	27	17
46	2060	30	23	27	19	27	17
47	2098	31	23	27	19	27	17
48	2136	31	24	28	19	27	17
49	2174	32	24	28	20	27	17
50	2212	32	25	29	20	28	17
51	2250	32	25	29	20	28	17
52	2288	33	25	30	20	28	17
53	2326	33	25	30	21	28	17
54	2364	34	26	30	21	28	17
55	2402	34	26	31	21	29	17
56	2440	35	26	31	21	29	18
57	2477	35	27	31	22	29	18
58	2515	35	27	32	22	29	18
59	2552	36	27	32	22	29	18
60	2589	36	28	33	22	29	18
61	2627	37	28	33	23	29	18
62	2664	37	28	33	23	29	18
