{:mhp=>1000, :dead=>0, :st=>[], :seiferp=>false}
HP	HP rate	CL 1/1..4	CL 2/1..4	CL 3/1..4	CL 4/1..4	CL 1..4/All	CL 2..4/All	CL 3..4/All	CL 4..4/All
0	0.000000	0.335404	0.236025	0.173913	0.254658	0.628906	0.417969	0.269531	0.160156
10	0.010000	0.339744	0.237179	0.185897	0.237179	0.609375	0.402344	0.257812	0.144531
20	0.020000	0.344371	0.245033	0.185430	0.225166	0.589844	0.386719	0.242188	0.132812
30	0.030000	0.349315	0.253425	0.184932	0.212329	0.570312	0.371094	0.226562	0.121094
40	0.040000	0.354610	0.255319	0.191489	0.198582	0.550781	0.355469	0.214844	0.109375
50	0.050000	0.367647	0.257353	0.191176	0.183824	0.531250	0.335938	0.199219	0.097656
60	0.060000	0.374046	0.259542	0.198473	0.167939	0.511719	0.320312	0.187500	0.085938
70	0.070000	0.380952	0.269841	0.198413	0.150794	0.492188	0.304688	0.171875	0.074219
80	0.080000	0.388430	0.272727	0.206612	0.132231	0.472656	0.289062	0.160156	0.062500
90	0.090000	0.396552	0.284483	0.215517	0.103448	0.453125	0.273438	0.144531	0.046875
100	0.100000	0.405405	0.297297	0.216216	0.081081	0.433594	0.257812	0.128906	0.035156
110	0.110000	0.424528	0.292453	0.226415	0.056604	0.414062	0.238281	0.117188	0.023438
120	0.120000	0.435644	0.306931	0.227723	0.029703	0.394531	0.222656	0.101562	0.011719
130	0.130000	0.447917	0.312500	0.239583	0.000000	0.375000	0.207031	0.089844	0.000000
140	0.140000	0.461538	0.329670	0.208791	0.000000	0.355469	0.191406	0.074219	0.000000
150	0.150000	0.476744	0.337209	0.186047	0.000000	0.335938	0.175781	0.062500	0.000000
160	0.160000	0.493827	0.358025	0.148148	0.000000	0.316406	0.160156	0.046875	0.000000
170	0.170000	0.526316	0.368421	0.105263	0.000000	0.296875	0.140625	0.031250	0.000000
180	0.180000	0.549296	0.380282	0.070423	0.000000	0.277344	0.125000	0.019531	0.000000
190	0.190000	0.575758	0.409091	0.015152	0.000000	0.257812	0.109375	0.003906	0.000000
200	0.200000	0.606557	0.393443	0.000000	0.000000	0.238281	0.093750	0.000000	0.000000
210	0.210000	0.642857	0.357143	0.000000	0.000000	0.218750	0.078125	0.000000	0.000000
220	0.220000	0.686275	0.313725	0.000000	0.000000	0.199219	0.062500	0.000000	0.000000
230	0.230000	0.760870	0.239130	0.000000	0.000000	0.179688	0.042969	0.000000	0.000000
240	0.240000	0.829268	0.170732	0.000000	0.000000	0.160156	0.027344	0.000000	0.000000
250	0.250000	0.916667	0.083333	0.000000	0.000000	0.140625	0.011719	0.000000	0.000000
260	0.260000	1.000000	0.000000	0.000000	0.000000	0.121094	0.000000	0.000000	0.000000
270	0.270000	1.000000	0.000000	0.000000	0.000000	0.101562	0.000000	0.000000	0.000000
280	0.280000	1.000000	0.000000	0.000000	0.000000	0.082031	0.000000	0.000000	0.000000
290	0.290000	1.000000	0.000000	0.000000	0.000000	0.062500	0.000000	0.000000	0.000000
